GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2000,Alaska,8,CA30,180,...,  Earnings by place of work,14908493,15928388,17061743,18054090,19000737,19955449,21195738,22355764,23442665,24697744,25663436,26788736,28296561,29441252,29563427,30431683,31285703,30751138
2000,Alaska,8,CA30,190,...,    Wages and salaries,10482804,11077295,11733847,12331495,12801278,13463175,14257925,15123763,16129296,17033186,17540259,18013163,18791486,19595302,19960409,20642637,21227555,20529085
2000,Alaska,8,CA30,200,...,    Supplements to wages and salaries,2670141,2842352,3162501,3382836,3759474,4035465,4373352,4505786,4699768,4797299,5045034,5237370,5772090,6233812,6385148,6604344,6725580,6689909
2000,Alaska,8,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,1845724,1981900,2264955,2440811,2787971,2997230,3257017,3289896,3453175,3517137,3742115,3898046,4323845,4680638,4777158,5030252,5147329,5170269
2000,Alaska,8,CA30,202,...,      Employer contributions for government social insurance,824417,860452,897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1339324,1448245,1553174,1607990,1574092,1578251,1519640
2000,Alaska,8,CA30,210,...,    Proprietors' income,1755548,2008741,2165395,2339759,2439985,2456809,2564461,2726215,2613601,2867259,3078143,3538203,3732985,3612138,3217870,3184702,3332568,3532144
2000,Alaska,8,CA30,220,...,      Farm proprietors' income,9183,13946,13108,12665,5734,8137,7942,3765,2668,-9943,-11010,-7757,-8228,-2970,-5726,-5209,-4508,-1616
2000,Alaska,8,CA30,230,...,      Nonfarm proprietors' income,1746365,1994795,2152287,2327094,2434251,2448672,2556519,2722450,2610933,2877202,3089153,3545960,3741213,3615108,3223596,3189911,3337076,3533760
2000,Alaska,8,CA30,240,...,Total employment (number of jobs),381412,389738,394547,402300,405886,414277,421905,431880,441103,444449,443863,444209,450862,459439,461288,461667,461720,456457
2000,Alaska,8,CA30,250,...,  Wage and salary employment,299907,307474,313491,319676,323957,330154,335952,343478,347801,352040,351916,352718,358857,365191,365944,366309,367795,361183
2000,Alaska,8,CA30,260,...,  Proprietors employment,81505,82264,81056,82624,81929,84123,85953,88402,93302,92409,91947,91491,92005,94248,95344,95358,93925,95274
2000,Alaska,8,CA30,270,...,    Farm proprietors employment 6/,546,549,559,530,516,518,540,535,579,588,596,609,631,640,651,651,653,653
2000,Alaska,8,CA30,280,...,    Nonfarm proprietors employment,80959,81715,80497,82094,81413,83605,85413,87867,92723,91821,91351,90882,91374,93608,94693,94707,93272,94621
2000,Alaska,8,CA30,290,...,Average earnings per job (dollars),39088,40869,43244,44877,46813,48169,50238,51764,53146,55569,57818,60307,62761,64081,64089,65917,67759,67369
2000,Alaska,8,CA30,300,...,  Average wages and salaries,34954,36027,37430,38575,39515,40778,42440,44031,46375,48384,49842,51070,52365,53658,54545,56353,57716,56838
2000,Alaska,8,CA30,310,...,  Average nonfarm proprietors' income,21571,24412,26737,28347,29900,29289,29931,30984,28158,31335,33816,39017,40944,38620,34043,33682,35778,37346
4000,Arizona,6,CA30,10,...,Personal income (thousands of dollars),124514127,135372547,141148475,146532203,155206313,169446981,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255696365,270258279,280120037
4000,Arizona,6,CA30,45,...,  Net earnings by place of residence,82636078,90533423,94243732,97283115,102319365,111523057,122924157,136708086,142183936,140930421,131886581,129691120,137005877,143647887,147474978,153664437,161193266,168545930
4000,Arizona,6,CA30,50,...,  Personal current transfer receipts,16115609,17027888,19315151,21494559,23478027,25701440,28737448,31425166,34117970,39756262,44421949,48316104,48322923,48070799,49804214,53409419,56392670,58071967
4000,Arizona,6,CA30,60,...,    Income maintenance benefits 1/,1471749,1514425,1604640,1925971,2178825,2377636,2630516,2722404,2932291,3290534,4220947,4640652,4875546,4983668,5004503,4946597,5043315,4991210
4000,Arizona,6,CA30,70,...,    Unemployment insurance compensation,189545,188484,297293,503942,511716,358773,293691,252222,312147,564204,1627209,1901064,1325038,933614,590188,393233,351022,333983
4000,Arizona,6,CA30,80,...,    Retirement and other,14454315,15324979,17413218,19064646,20787486,22965031,25813241,28450540,30873532,35901524,38573793,41774388,42122339,42153517,44209523,48069589,50998333,52746774
4000,Arizona,6,CA30,90,...,"  Dividends, interest, and rent 2/",25762440,27811236,27589592,27754529,29408921,32222484,36869960,41107475,44201440,43631202,37749699,37045381,40510085,44501619,44902312,48622509,52672343,53502140
4000,Arizona,6,CA30,100,...,  Population (persons) 3/,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408312,6467163,6549634,6624617,6719993,6817565,6931071
4000,Arizona,6,CA30,110,...,  Per capita personal income 4/,24785,26232,26766,27154,28166,29978,32288,34705,35751,35717,33746,33558,34921,36066,36558,38050,39641,40415
4000,Arizona,6,CA30,120,...,  Per capita net earnings 4/,16449,17543,17871,18028,18569,19730,21052,22675,23053,22440,20792,20238,21185,21932,22262,22867,23644,24317
4000,Arizona,6,CA30,130,...,  Per capita personal current transfer receipts 4/,3208,3300,3663,3983,4261,4547,4922,5212,5532,6330,7003,7540,7472,7339,7518,7948,8272,8378
4000,Arizona,6,CA30,140,...,    Per capita income maintenance benefits 4/,293,293,304,357,395,421,451,452,475,524,665,724,754,761,755,736,740,720
4000,Arizona,6,CA30,150,...,    Per capita unemployment insurance compensation 4/,38,37,56,93,93,63,50,42,51,90,257,297,205,143,89,59,51,48
4000,Arizona,6,CA30,160,...,    Per capita retirement and other 4/,2877,2970,3302,3533,3772,4063,4421,4719,5006,5716,6081,6519,6513,6436,6674,7153,7480,7610
4000,Arizona,6,CA30,170,...,"  Per capita dividends, interest, and rent 4/",5128,5389,5232,5143,5337,5701,6314,6818,7167,6947,5951,5781,6264,6795,6778,7235,7726,7719
4000,Arizona,6,CA30,180,...,  Earnings by place of work,92652182,101421670,105608604,109045678,114564429,124797156,137468241,152622726,158820464,157537700,147722984,145698241,151754723,158853517,165509987,172298811,180784963,189044317
4000,Arizona,6,CA30,190,...,    Wages and salaries,69372454,76583262,79484246,81188497,85029446,92180211,101142343,111494574,117280222,117203207,109729610,109289454,113662613,119041447,122681869,127825664,134092102,139320661
4000,Arizona,6,CA30,200,...,    Supplements to wages and salaries,13767431,14862534,15919889,16727040,17509667,18782874,20551022,23074221,25302707,26730794,25570256,25650713,26527326,26873848,27727543,28717881,29474098,30947841
4000,Arizona,6,CA30,201,...,      Employer contributions for employee pension and insurance funds 5/,8711558,9350273,10125557,10739932,11321713,12104931,13284086,15130649,16840301,18155890,17501212,17537779,18112793,18153596,18724279,19524329,19800231,20901006
